JDayMod,124Langes,1427Bath,241VKLake,398Snow,526Stumpy,554Columbia,683Boston,970Fitzwater
701,-9999,-9999,0,-9999,-9999,-9999,-9999,3
702,-9999,-9999,0,-9999,-9999,-9999,-9999,1
703,-9999,-9999,0,-9999,-9999,-9999,-9999,0
704,-9999,-9999,10,-9999,-9999,-9999,-9999,-1
705,-9999,-9999,11,-9999,-9999,-9999,-9999,13
706,-9999,-9999,10,-9999,-9999,-9999,-9999,19
707,-9999,-9999,8,-9999,-9999,-9999,-9999,12
708,-9999,-9999,7,-9999,-9999,-9999,-9999,8
709,-9999,-9999,6,-9999,-9999,-9999,-9999,5
710,-9999,-9999,5,-9999,-9999,-9999,-9999,2
711,-9999,-9999,6,-9999,-9999,-9999,-9999,2
712,-9999,-9999,6,-9999,-9999,-9999,-9999,1
713,-9999,-9999,8,-9999,-9999,-9999,-9999,1
714,-9999,-9999,10,-9999,-9999,-9999,-9999,2
715,-9999,-9999,8,-9999,-9999,-9999,-9999,10
716,-9999,-9999,7,-9999,-9999,-9999,-9999,3
717,-9999,-9999,6,-9999,-9999,-9999,-9999,2
718,-9999,-9999,8,-9999,-9999,-9999,-9999,2
719,-9999,-9999,8,-9999,-9999,-9999,-9999,2
720,-9999,-9999,13,-9999,-9999,-9999,-9999,4
721,-9999,-9999,10,-9999,-9999,-9999,-9999,14
722,-9999,-9999,9,-9999,-9999,-9999,-9999,13
723,-9999,-9999,8,-9999,-9999,-9999,-9999,10
724,-9999,-9999,5,-9999,-9999,-9999,-9999,7
725,-9999,-9999,6,-9999,-9999,-9999,-9999,5
726,-9999,-9999,6,-9999,-9999,-9999,-9999,3
727,-9999,-9999,5,-9999,-9999,-9999,-9999,8
728,-9999,-9999,5,-9999,-9999,-9999,-9999,4
729,-9999,-9999,6,-9999,-9999,-9999,-9999,4
730,-9999,-9999,7,-9999,-9999,-9999,-9999,9
731,-9999,-9999,7,-9999,-9999,-9999,-9999,6
732,-9999,-9999,4,-9999,-9999,-9999,-9999,4
733,-9999,-9999,4,-9999,-9999,-9999,-9999,3
734,-9999,-9999,4,-9999,-9999,-9999,-9999,2
735,-9999,-9999,4,-9999,-9999,-9999,-9999,4
736,-9999,-9999,5,-9999,-9999,-9999,-9999,4
737,-9999,-9999,5,-9999,-9999,-9999,-9999,4
738,-9999,-9999,5,-9999,-9999,-9999,-9999,5
739,-9999,-9999,4,-9999,-9999,-9999,-9999,3
740,-9999,-9999,5,-9999,-9999,-9999,-9999,4
741,-9999,-9999,4,-9999,-9999,-9999,-9999,2
742,-9999,-9999,8,-9999,-9999,-9999,-9999,3
743,-9999,-9999,4,-9999,-9999,-9999,-9999,4
744,-9999,-9999,3,-9999,-9999,-9999,-9999,1
745,-9999,-9999,3,-9999,-9999,-9999,-9999,1
746,-9999,-9999,3,-9999,-9999,-9999,-9999,-2
747,-9999,-9999,8,-9999,-9999,-9999,-9999,4
748,-9999,-9999,4,-9999,-9999,-9999,-9999,10
749,-9999,-9999,3,-9999,-9999,-9999,-9999,1
750,-9999,-9999,4,-9999,-9999,-9999,-9999,-1
751,-9999,-9999,3,-9999,-9999,-9999,-9999,0
752,-9999,-9999,4,-9999,-9999,-9999,-9999,-4
753,-9999,-9999,8,-9999,-9999,-9999,-9999,2
754,-9999,-9999,6,-9999,-9999,-9999,-9999,15
755,-9999,-9999,5,-9999,-9999,-9999,-9999,11
756,-9999,-9999,7,-9999,-9999,-9999,-9999,8
757,-9999,-9999,7,-9999,-9999,-9999,-9999,16
758,-9999,-9999,6,-9999,-9999,-9999,-9999,17
759,-9999,-9999,6,-9999,-9999,-9999,-9999,16
760,-9999,-9999,3,-9999,-9999,-9999,-9999,11
761,-9999,-9999,7,-9999,-9999,-9999,-9999,8
762,-9999,-9999,8,-9999,-9999,-9999,-9999,7
763,-9999,-9999,5,-9999,-9999,-9999,-9999,12
764,-9999,-9999,6,-9999,-9999,-9999,-9999,8
765,-9999,-9999,4,-9999,-9999,-9999,-9999,11
766,-9999,-9999,6,-9999,-9999,-9999,-9999,11
767,-9999,-9999,7,-9999,-9999,-9999,-9999,5
768,-9999,-9999,5,-9999,-9999,-9999,-9999,10
769,-9999,-9999,4,-9999,-9999,-9999,-9999,10
770,-9999,-9999,5,-9999,-9999,-9999,-9999,3
771,-9999,-9999,2,-9999,-9999,-9999,-9999,-28
772,-9999,-9999,4,-9999,-9999,-9999,-9999,-31
773,-9999,-9999,5,-9999,-9999,-9999,-9999,-35
774,-9999,-9999,4,-9999,-9999,-9999,-9999,-38
775,-9999,-9999,3,-9999,-9999,-9999,-9999,-38
776,-9999,-9999,6,-9999,-9999,-9999,-9999,-34
777,-9999,-9999,8,-9999,-9999,-9999,-9999,-29
778,-9999,-9999,8,-9999,-9999,-9999,-9999,-19
779,-9999,-9999,8,-9999,-9999,-9999,-9999,-24
780,-9999,-9999,4,-9999,-9999,-9999,-9999,-30
781,-9999,-9999,6,-9999,-9999,-9999,-9999,-33
782,-9999,-9999,3,-9999,-9999,-9999,-9999,-38
783,-9999,-9999,7,-9999,-9999,-9999,-9999,-36
784,-9999,-9999,8,-9999,-9999,-9999,-9999,-35
785,-9999,-9999,9,-9999,-9999,-9999,-9999,10
786,-9999,-9999,5,-9999,-9999,-9999,-9999,1
787,-9999,-9999,7,-9999,-9999,-9999,-9999,-14
788,-9999,-9999,8,-9999,-9999,-9999,-9999,-16
789,-9999,-9999,8,-9999,-9999,-9999,-9999,-25
790,-9999,-9999,10,-9999,-9999,-9999,-9999,-26
791,-9999,-9999,7,-9999,-9999,-9999,-9999,13
792,-9999,-9999,8,-9999,-9999,-9999,-9999,10
793,-9999,-9999,7,-9999,-9999,-9999,-9999,14
794,-9999,-9999,6,-9999,-9999,-9999,-9999,8
795,-9999,-9999,5,-9999,-9999,-9999,-9999,6
796,-9999,-9999,6,-9999,-9999,-9999,-9999,2
797,-9999,-9999,9,-9999,-9999,-9999,-9999,3
798,-9999,-9999,9,-9999,-9999,-9999,-9999,-3
799,-9999,-9999,7,-9999,-9999,-9999,-9999,4
800,-9999,-9999,7,-9999,-9999,-9999,-9999,2
801,-9999,-9999,9,-9999,-9999,-9999,-9999,1
802,-9999,-9999,10,-9999,-9999,-9999,-9999,2
803,-9999,-9999,11,-9999,-9999,-9999,-9999,2
804,-9999,-9999,9,-9999,-9999,-9999,-9999,5
805,-9999,-9999,10,-9999,-9999,-9999,-9999,1
806,-9999,-9999,8,-9999,-9999,-9999,-9999,-5
807,-9999,-9999,9,-9999,-9999,-9999,-9999,1
808,-9999,-9999,9,-9999,-9999,-9999,-9999,-14
809,-9999,-9999,10,-9999,-9999,-9999,-9999,9
810,-9999,-9999,10,-9999,-9999,-9999,-9999,2
811,-9999,-9999,10,-9999,-9999,-9999,-9999,-188
812,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-189
813,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188
814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188
815,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188
816,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188
817,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187
818,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-187
819,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-188
820,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-38
821,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-34
822,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-38
823,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-37
824,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-40
825,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-43
826,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-48
827,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-51
828,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-55
829,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-58
830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-60
831,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-62
832,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-63
833,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-63
834,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-59
835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-65
836,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-62
837,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-68
838,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-73
839,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74
840,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74
841,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-76
842,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-78
843,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-78
844,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-77
845,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-78
846,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-84
847,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-86
848,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-86
849,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-86
850,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-88
851,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-89
852,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-68
853,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-70
854,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74
855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-78
856,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-80
857,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-85
858,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-87
859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-86
860,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-47
861,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-45
862,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-49
863,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-56
864,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-60
865,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-65
866,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-74
867,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-82
868,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-89
869,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-93
870,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-100
871,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-107
872,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-111
873,-9999,-9999,0,-9999,-9999,-9999,-9999,-114
874,-9999,-9999,1,-9999,-9999,-9999,-9999,-113
875,-9999,-9999,1,-9999,-9999,-9999,-9999,-119
876,-9999,-9999,1,-9999,-9999,-9999,-9999,-124
877,-9999,-9999,2,-9999,-9999,-9999,-9999,-129
878,-9999,-9999,2,-9999,-9999,-9999,-9999,-132
879,-9999,-9999,2,-9999,-9999,-9999,-9999,-134
880,-9999,-9999,2,-9999,-9999,-9999,-9999,-138
881,-9999,-9999,2,-9999,-9999,-9999,-9999,-142
882,13,-9999,2,-9999,-9999,-9999,-9999,-146
883,16,-135,2,0,-9999,6,-9999,-147
884,13,-134,2,3,-9999,7,-9999,-142
885,14,-136,2,2,-9999,6,-9999,-146
886,14,-139,2,2,-9999,6,-9999,-150
887,13,-139,2,2,-9999,6,1,-151
888,14,-138,2,2,-9999,6,0,-152
889,14,-140,2,2,-9999,-9999,1,-156
890,12,-138,2,2,-9999,-9999,-4,-155
891,13,-140,2,4,-9999,-9999,-6,-157
892,12,-141,2,4,-9999,-9999,-7,-159
893,12,-143,2,4,-9999,-9999,-9,-163
894,12,-141,3,3,-9999,-9999,-8,-164
895,9,-143,2,3,-9999,-9999,-12,-165
896,10,-142,1,4,-9999,1,-16,-166
897,12,-142,2,5,-9999,7,-17,-163
898,12,-145,2,6,-9999,8,-21,-167
899,12,-146,2,6,-9999,7,-24,-172
